"filename", "language", "Java", "PowerShell", "Shell Script", "JSON", "Batch", "Markdown", "C++", "C", "comment", "blank", "total"
"/Users/senyunyao/Dev Local/tianyu-native/native/prime/system.hpp", "C++", 0, 0, 0, 0, 0, 0, 26, 0, 11, 9, 46
"/Users/senyunyao/Dev Local/tianyu-native/native/prime/times.hpp", "C++", 0, 0, 0, 0, 0, 0, 198, 0, 11, 35, 244
"/Users/senyunyao/Dev Local/tianyu-native/native/prime/version.hpp", "C++", 0, 0, 0, 0, 0, 0, 52, 0, 10, 14, 76
"/Users/senyunyao/Dev Local/tianyu-native/native/stdin.hpp", "C++", 0, 0, 0, 0, 0, 0, 63, 0, 11, 16, 90
"/Users/senyunyao/Dev Local/tianyu-native/native/text/encoding.hpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/senyunyao/Dev Local/tianyu-native/native/text/package.json", "JSON", 0, 0, 0, 19, 0, 0, 0, 0, 0, 1, 20
"/Users/senyunyao/Dev Local/tianyu-native/native/text/src/text.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 15
"/Users/senyunyao/Dev Local/tianyu-native/native/text/stringBuilder.hpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/senyunyao/Dev Local/tianyu-native/native/text/textbase.hpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/senyunyao/Dev Local/tianyu-native/native/text/wstring.hpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/senyunyao/Dev Local/tianyu-native/test/package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/senyunyao/Dev Local/tianyu-native/test/prime/all_compiler_test.cpp", "C++", 0, 0, 0, 0, 0, 0, 6, 0, 0, 1, 7
"/Users/senyunyao/Dev Local/tianyu-native/test/prime/core/event.cpp", "C++", 0, 0, 0, 0, 0, 0, 41, 0, 0, 14, 55
"/Users/senyunyao/Dev Local/tianyu-native/test/prime/core/package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/senyunyao/Dev Local/tianyu-native/test/prime/core/prop.cpp", "C++", 0, 0, 0, 0, 0, 0, 18, 0, 0, 7, 25
"/Users/senyunyao/Dev Local/tianyu-native/test/prime/package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/senyunyao/Dev Local/tianyu-native/test/prime/version.cpp", "C++", 0, 0, 0, 0, 0, 0, 6, 0, 0, 2, 8
"Total", "-", 0, 0, 0, 120, 0, 1, 5030, 0, 848, 1235, 7234
